risk_question1,risk_question2,correlation,risk_question1_number,risk_question2_number
work_50improv_1para_trial,work_90improv_10para_trial,0.672372689671429,34,39
exer_90improv_90drop_trial,exer_50pain_50death_trial,0.6701780318626127,17,20
exer_90pain_10death_trial,work_90improv_10death_trial,0.6696895344071404,23,47
exer_50pain_10death_trial,work_50improv_10para_trial,0.668785369185782,19,35
exer_50improv_10drop_trial,exer_50pain_1death_trial,0.6679271683012541,11,18
work_90improv_50death_trial,work_50improv_10death_trial,0.6649541950670591,48,43
exer_90improv_10drop_trial,exer_50improv_10drop_trial,0.6627080905675875,15,11
exer_50pain_1death_trial,work_90improv_1death_trial,0.6621073861806624,18,46
exer_90improv_1drop_trial,exer_50improv_1drop_trial,0.6613803871144688,14,10
exer_50improv_50drop_trial,exer_90pain_50death_trial,0.6611694907650209,12,24
work_90improv_50para_trial,work_90improv_90para_trial,0.6598358926729171,40,41
exer_50pain_1death_trial,work_90improv_1para_trial,0.6597559680487349,18,38
exer_90pain_50death_trial,work_50improv_50para_trial,0.6586082126241913,24,36
exer_50pain_1death_trial,exer_50pain_10death_trial,0.6585878930058913,18,19
work_90improv_10para_trial,exer_50pain_1death_trial,0.6578302610632362,39,18
exer_90pain_10death_trial,work_50improv_10para_trial,0.6576643043670756,23,35
exer_50pain_50death_trial,exer_50improv_50drop_trial,0.6564751089792564,20,12
exer_50pain_1death_trial,exer_50improv_1drop_trial,0.6562918566827611,18,10
exer_50pain_10death_trial,exer_90pain_10death_trial,0.6559946484777178,19,23
work_50improv_1death_trial,exer_90pain_10death_trial,0.6559447655687878,42,23
exer_50pain_50death_trial,exer_50improv_90drop_trial,0.6551831838664673,20,13
work_50improv_90death_trial,exer_90pain_90death_trial,0.6523984573360484,45,25
work_90improv_10para_trial,exer_50improv_10drop_trial,0.6476683320151503,39,11
work_50improv_90drop_trial,exer_50pain_50death_trial,0.6476049912340134,29,20
work_50improv_10para_trial,work_50improv_10death_trial,0.6474565461694705,35,43
work_90improv_10drop_trial,work_90improv_1drop_trial,0.6466642818381654,31,30
work_90improv_50para_trial,work_50improv_50death_trial,0.6459429564629443,40,44
work_50improv_90death_trial,work_50improv_50death_trial,0.6449714254652685,45,44
work_50improv_50para_trial,exer_50pain_90death_trial,0.6433516721354707,36,21
work_50improv_10para_trial,work_50improv_1death_trial,0.6428586903297951,35,42
exer_50improv_50drop_trial,exer_90improv_50drop_trial,0.6410610573250022,12,16
work_90improv_90drop_trial,exer_50improv_90drop_trial,0.640199710210882,33,13
exer_50improv_90drop_trial,work_50improv_90para_trial,0.6371163705889951,13,37
work_50improv_10para_trial,exer_50pain_1death_trial,0.6364456506756803,35,18
exer_90pain_1death_trial,work_90improv_10death_trial,0.6356620012641513,22,47
exer_90improv_90drop_trial,exer_50improv_50drop_trial,0.6335313755513499,17,12
exer_90pain_50death_trial,exer_90improv_90drop_trial,0.6282294861318461,24,17
work_50improv_10drop_trial,exer_50improv_10drop_trial,0.6255827611106515,27,11
work_50improv_90para_trial,exer_90improv_90drop_trial,0.6241407064458729,37,17
exer_90improv_1drop_trial,work_50improv_1drop_trial,0.6229633699410378,14,26
work_90improv_50death_trial,exer_90pain_90death_trial,0.6225107680384458,48,25
work_50improv_50drop_trial,work_50improv_90drop_trial,0.6214750856162872,28,29
exer_50pain_50death_trial,work_50improv_50death_trial,0.621120629723373,20,44
work_90improv_1para_trial,exer_50improv_1drop_trial,0.6208616859802963,38,10
work_90improv_1death_trial,exer_90pain_10death_trial,0.6191447374647885,46,23
exer_50pain_50death_trial,work_90improv_50death_trial,0.6182787748843348,20,48
work_50improv_90para_trial,exer_50pain_50death_trial,0.6175786092323514,37,20
work_50improv_90drop_trial,work_50improv_50death_trial,0.6171822307325141,29,44
exer_50pain_10death_trial,work_50improv_90para_trial,0.6171432485603803,19,37
work_90improv_10death_trial,work_90improv_1para_trial,0.614643589820131,47,38
work_50improv_10drop_trial,work_90improv_10drop_trial,0.6127284875111172,27,31
work_90improv_50drop_trial,work_50improv_90drop_trial,0.6124249333375091,32,29
work_90improv_10para_trial,work_90improv_50para_trial,0.6121941708865896,39,40
exer_90pain_50death_trial,exer_50pain_10death_trial,0.6109003097511929,24,19
work_90improv_50para_trial,work_90improv_90death_trial,0.6108242797318547,40,49
work_50improv_1death_trial,exer_50improv_1drop_trial,0.6082997667425615,42,10
exer_50pain_90death_trial,work_90improv_90drop_trial,0.6079010882701945,21,33
work_50improv_90para_trial,work_50improv_90drop_trial,0.6070562566930899,37,29
exer_50pain_1death_trial,exer_90pain_10death_trial,0.606895263278149,18,23
work_50improv_10drop_trial,exer_90improv_10drop_trial,0.6068071830109134,27,15
exer_50improv_1drop_trial,work_50improv_1drop_trial,0.6058753612008853,10,26
exer_90pain_50death_trial,exer_90pain_10death_trial,0.6048400180411805,24,23
work_50improv_10para_trial,exer_90pain_1death_trial,0.6033277039804587,35,22
work_90improv_1para_trial,exer_90improv_1drop_trial,0.6030952554585772,38,14
exer_50improv_1drop_trial,exer_90improv_10drop_trial,0.60103771852281,10,15
exer_50pain_50death_trial,work_90improv_90para_trial,0.600756905821409,20,41
exer_90improv_90drop_trial,work_90improv_90para_trial,0.6000402093577085,17,41
work_50improv_1para_trial,work_50improv_10death_trial,0.5993644663132719,34,43
exer_50pain_10death_trial,exer_50improv_50drop_trial,0.598391555718142,19,12
work_50improv_10death_trial,exer_50pain_1death_trial,0.5971339257369458,43,18
exer_90pain_10death_trial,exer_50improv_50drop_trial,0.5964589998273794,23,12
exer_90improv_1drop_trial,work_90improv_1drop_trial,0.5953331849770497,14,30
exer_50improv_10drop_trial,exer_50improv_50drop_trial,0.5946172311948354,11,12
exer_50pain_10death_trial,work_50improv_50death_trial,0.5935248091699732,19,44
work_50improv_10death_trial,exer_50improv_10drop_trial,0.5935093666764436,43,11
exer_50improv_50drop_trial,work_50improv_90drop_trial,0.5905759709920685,12,29
work_90improv_10drop_trial,work_50improv_1drop_trial,0.5904406901053009,31,26
work_90improv_90drop_trial,exer_90pain_90death_trial,0.588328068608889,33,25
exer_90pain_10death_trial,work_90improv_1para_trial,0.5882650452000212,23,38
work_50improv_10death_trial,work_90improv_1death_trial,0.5865458060078768,43,46
work_50improv_10death_trial,work_50improv_50para_trial,0.586235609868357,43,36
work_90improv_90death_trial,exer_50pain_90death_trial,0.5842342530132362,49,21
work_50improv_50para_trial,work_50improv_10para_trial,0.5841154922795369,36,35
work_90improv_90death_trial,work_50improv_90drop_trial,0.5804968931770367,49,29
work_50improv_10death_trial,work_90improv_50para_trial,0.5796796560346654,43,40
work_50improv_10drop_trial,exer_50improv_1drop_trial,0.5794635354408202,27,10
work_50improv_50para_trial,exer_50improv_90drop_trial,0.5785042161399278,36,13
work_50improv_50death_trial,exer_90improv_90drop_trial,0.5773989605628773,44,17
exer_50pain_1death_trial,work_90improv_10death_trial,0.5768618733687211,18,47
work_50improv_50para_trial,exer_90improv_90drop_trial,0.5764159583434353,36,17
work_50improv_1para_trial,work_90improv_10death_trial,0.575538603600355,34,47
exer_90improv_1drop_trial,exer_90pain_1death_trial,0.5754310640894713,14,22
exer_50pain_10death_trial,work_90improv_10para_trial,0.5753498808761439,19,39
work_90improv_90para_trial,exer_50pain_90death_trial,0.5729002790152247,41,21
work_50improv_90drop_trial,work_90improv_90para_trial,0.5684081367270275,29,41
work_50improv_50drop_trial,work_90improv_90drop_trial,0.5681623892726084,28,33
exer_50improv_10drop_trial,work_50improv_1death_trial,0.5658314084632198,11,42
work_90improv_1para_trial,work_50improv_10para_trial,0.5648857348441757,38,35
work_50improv_10drop_trial,work_50improv_50drop_trial,0.5639948820284975,27,28
work_50improv_10drop_trial,work_90improv_50drop_trial,0.5627847700599086,27,32
exer_50pain_10death_trial,exer_50pain_50death_trial,0.5616373931026452,19,20
work_50improv_1drop_trial,work_90improv_1drop_trial,0.5614642907625176,26,30
exer_90improv_10drop_trial,work_50improv_1drop_trial,0.5596954733608906,15,26
work_50improv_10para_trial,work_90improv_1death_trial,0.5593779300446551,35,46
work_50improv_1para_trial,exer_50improv_10drop_trial,0.5584533046407978,34,11
work_90improv_50death_trial,exer_90improv_90drop_trial,0.5569015694968978,48,17
exer_50pain_10death_trial,work_90improv_50death_trial,0.5565170655632503,19,48
exer_90pain_10death_trial,work_50improv_1para_trial,0.5557518415054098,23,34
work_50improv_50para_trial,work_50improv_90drop_trial,0.5557035979704908,36,29
exer_50improv_1drop_trial,work_50improv_1para_trial,0.5554755565709345,10,34
work_90improv_50death_trial,work_50improv_90death_trial,0.5538828734828962,48,45
exer_50improv_50drop_trial,exer_50pain_90death_trial,0.5522529650635158,12,21
exer_90pain_50death_trial,work_50improv_90para_trial,0.5520326967484628,24,37
exer_90pain_50death_trial,work_50improv_90drop_trial,0.5519970452796089,24,29
exer_90pain_50death_trial,work_50improv_50death_trial,0.5515425953407281,24,44
work_90improv_90drop_trial,exer_90improv_50drop_trial,0.5500812416315721,33,16
work_50improv_90death_trial,exer_50pain_90death_trial,0.5488731303212857,45,21
exer_50improv_10drop_trial,exer_50pain_10death_trial,0.5454930478502442,11,19
exer_50improv_90drop_trial,work_90improv_90death_trial,0.5436624817614895,13,49
exer_50improv_10drop_trial,exer_90improv_1drop_trial,0.5395144717435162,11,14
exer_50pain_10death_trial,exer_90pain_90death_trial,0.5390045114819614,19,25
exer_50improv_50drop_trial,exer_90pain_90death_trial,0.5380767463720405,12,25
work_50improv_10para_trial,work_90improv_10death_trial,0.5380485023788674,35,47
exer_50improv_90drop_trial,exer_90improv_50drop_trial,0.5358548854970637,13,16
exer_90pain_10death_trial,work_90improv_50death_trial,0.534871406081855,23,48
exer_50improv_50drop_trial,work_50improv_50para_trial,0.5342210388331583,12,36
exer_50improv_10drop_trial,exer_90pain_1death_trial,0.5315035123675713,11,22
exer_50improv_10drop_trial,work_50improv_1drop_trial,0.5313894961287094,11,26
exer_50pain_10death_trial,work_50improv_1para_trial,0.5313479111685322,19,34
exer_50pain_90death_trial,work_50improv_50death_trial,0.5308274706879098,21,44
work_90improv_10drop_trial,work_90improv_50drop_trial,0.5288479823315267,31,32
work_90improv_90death_trial,exer_90improv_90drop_trial,0.5285083922603833,49,17
exer_90pain_10death_trial,exer_50pain_50death_trial,0.5274356898397413,23,20
exer_50improv_10drop_trial,work_90improv_1death_trial,0.5272806269405879,11,46
exer_90pain_50death_trial,exer_90improv_50drop_trial,0.5263582238740072,24,16
work_50improv_10para_trial,work_90improv_50para_trial,0.5262322920668832,35,40
work_50improv_90death_trial,work_50improv_90drop_trial,0.5253395095313647,45,29
work_90improv_1death_trial,exer_50improv_1drop_trial,0.5251230741763205,46,10
exer_50pain_50death_trial,work_90improv_90death_trial,0.5236995016033735,20,49
work_90improv_50death_trial,work_50improv_90drop_trial,0.5222952241489827,48,29
exer_50improv_10drop_trial,work_50improv_10para_trial,0.5198186500166846,11,35
work_90improv_10death_trial,exer_50pain_10death_trial,0.5198098284768642,47,19
exer_50pain_50death_trial,work_90improv_90drop_trial,0.5176869700321709,20,33
work_50improv_90para_trial,work_90improv_50para_trial,0.5169453087253832,37,40
exer_50improv_10drop_trial,exer_90pain_10death_trial,0.5151213031259927,11,23
work_50improv_10death_trial,exer_90pain_1death_trial,0.5148105579505554,43,22
work_50improv_10para_trial,work_90improv_50death_trial,0.5147183007777006,35,48
work_50improv_10death_trial,work_90improv_90death_trial,0.5141241964045828,43,49
exer_90improv_1drop_trial,exer_50pain_1death_trial,0.5127667992992436,14,18
work_50improv_50death_trial,exer_50improv_50drop_trial,0.5125531541427862,44,12
exer_50pain_50death_trial,work_90improv_50para_trial,0.5122157862348075,20,40
exer_90improv_10drop_trial,exer_90pain_1death_trial,0.5120632692470274,15,22
work_90improv_50drop_trial,exer_90improv_50drop_trial,0.5105198104099008,32,16
work_50improv_90death_trial,exer_50improv_90drop_trial,0.5085431690655865,45,13
exer_50pain_10death_trial,exer_50pain_90death_trial,0.5085058347640743,19,21
work_90improv_1drop_trial,work_90improv_1para_trial,0.5075557842307383,30,38
exer_90pain_50death_trial,work_90improv_50para_trial,0.5074191461188737,24,40
work_50improv_90death_trial,work_90improv_50para_trial,0.5066444674421133,45,40
work_50improv_10death_trial,work_90improv_90para_trial,0.5047260900242334,43,41
work_90improv_90death_trial,exer_50pain_10death_trial,0.5038087805447263,49,19
work_50improv_50para_trial,work_90improv_10para_trial,0.4995751596220125,36,39
exer_50improv_90drop_trial,exer_50pain_10death_trial,0.49955052336381633,13,19
work_50improv_10para_trial,work_50improv_50death_trial,0.49939496142211337,35,44
exer_90improv_1drop_trial,work_50improv_1death_trial,0.49753023395152146,14,42
work_50improv_1death_trial,work_50improv_1drop_trial,0.49682289641846994,42,26
exer_50pain_90death_trial,work_90improv_50death_trial,0.49607380246263866,21,48
work_90improv_10para_trial,exer_50improv_1drop_trial,0.49600845933111143,39,10
work_50improv_1para_trial,work_90improv_50para_trial,0.4947464888074111,34,40
work_50improv_10death_trial,exer_50improv_50drop_trial,0.4945513550318224,43,12
work_90improv_1para_trial,exer_50improv_10drop_trial,0.4941797716592163,38,11
exer_90pain_90death_trial,work_90improv_50para_trial,0.493658907980602,25,40
work_90improv_10para_trial,work_90improv_50death_trial,0.4933813417200161,39,48
work_90improv_50para_trial,exer_90pain_10death_trial,0.49291512887154837,40,23
work_90improv_10para_trial,work_50improv_50death_trial,0.4918260625061742,39,44
work_90improv_90drop_trial,work_50improv_90para_trial,0.49130132929633785,33,37
exer_50improv_1drop_trial,exer_90pain_1death_trial,0.4905679734782439,10,22
exer_50improv_90drop_trial,work_90improv_90para_trial,0.48933764161804244,13,41
exer_50pain_10death_trial,work_50improv_1death_trial,0.48697538949804997,19,42
exer_50pain_50death_trial,exer_90improv_50drop_trial,0.48602577109432854,20,16
work_90improv_1para_trial,work_50improv_1drop_trial,0.4850341612405832,38,26
work_50improv_90death_trial,exer_90improv_90drop_trial,0.4846247747717909,45,17
work_50improv_50para_trial,exer_90pain_10death_trial,0.48401917860591553,36,23
exer_90pain_10death_trial,exer_90improv_10drop_trial,0.4836262855759557,23,15
exer_90improv_90drop_trial,work_90improv_50drop_trial,0.4833352470755407,17,32
work_50improv_90para_trial,work_50improv_10death_trial,0.4832231489838891,37,43
work_50improv_10drop_trial,work_50improv_1death_trial,0.4819499585088024,27,42
exer_90pain_50death_trial,work_90improv_90drop_trial,0.4814776240930146,24,33
work_50improv_50death_trial,exer_50improv_90drop_trial,0.4809063156385778,44,13
exer_50pain_50death_trial,work_50improv_10death_trial,0.4804468332962997,20,43
work_90improv_10drop_trial,work_90improv_1para_trial,0.4798000532946978,31,38
work_90improv_1para_trial,exer_90improv_10drop_trial,0.47888223513459804,38,15
exer_90pain_50death_trial,work_50improv_10para_trial,0.47880618577633255,24,35
exer_50pain_1death_trial,work_50improv_10drop_trial,0.47758143908528755,18,27
exer_90improv_50drop_trial,exer_90improv_10drop_trial,0.4766146945504527,16,15
exer_90improv_50drop_trial,work_50improv_50drop_trial,0.4712631706462486,16,28
exer_90improv_1drop_trial,work_50improv_10drop_trial,0.4712423828086232,14,27
work_50improv_1drop_trial,exer_90pain_1death_trial,0.46957039350080193,26,22
exer_90improv_10drop_trial,exer_50pain_1death_trial,0.46935606810864533,15,18
work_50improv_50death_trial,exer_90pain_10death_trial,0.46860237879726935,44,23
work_50improv_90drop_trial,exer_90improv_50drop_trial,0.46820687358537605,29,16
exer_50pain_10death_trial,exer_90pain_1death_trial,0.4668910394671094,19,22
work_90improv_10death_trial,exer_50improv_10drop_trial,0.46594626312015314,47,11
exer_50improv_1drop_trial,work_50improv_10death_trial,0.4658773121702997,10,43
exer_90pain_50death_trial,work_90improv_50death_trial,0.46572423318800654,24,48
work_90improv_50death_trial,exer_50improv_50drop_trial,0.46359943146706034,48,12
work_90improv_10drop_trial,exer_90improv_1drop_trial,0.4633993599101984,31,14
exer_50improv_50drop_trial,exer_50pain_1death_trial,0.4624220218520509,12,18
exer_90improv_50drop_trial,exer_90pain_10death_trial,0.4619893727213376,16,23
work_90improv_90death_trial,exer_90pain_50death_trial,0.46163078163276094,49,24
work_90improv_10drop_trial,work_50improv_50drop_trial,0.4587673511155003,31,28
exer_50pain_1death_trial,work_50improv_1drop_trial,0.45858075753298183,18,26
exer_90pain_10death_trial,exer_90pain_90death_trial,0.45755775191185394,23,25
exer_90improv_1drop_trial,work_90improv_1death_trial,0.4572852482234342,14,46
exer_50improv_90drop_trial,exer_90pain_10death_trial,0.4565874449516354,13,23
work_50improv_10death_trial,work_90improv_1para_trial,0.4562679109360771,43,38
work_90improv_10drop_trial,exer_90improv_10drop_trial,0.4557169510141182,31,15
exer_90pain_90death_trial,work_50improv_10death_trial,0.45568325717984154,25,43
exer_50improv_50drop_trial,work_50improv_90para_trial,0.4548710071250166,12,37
work_90improv_10death_trial,work_90improv_50para_trial,0.4547988237495558,47,40
exer_90improv_1drop_trial,work_50improv_1para_trial,0.4544226058852512,14,34
work_50improv_10drop_trial,work_90improv_10para_trial,0.4521951350831072,27,39
work_90improv_1death_trial,work_90improv_10drop_trial,0.45215263726202654,46,31
work_50improv_1death_trial,work_90improv_10drop_trial,0.44980193993620804,42,31
exer_50pain_10death_trial,work_90improv_50para_trial,0.4492954869991927,19,40
work_90improv_10para_trial,exer_90improv_10drop_trial,0.4482916015161183,39,15
work_90improv_90para_trial,exer_50pain_10death_trial,0.44743842786819704,41,19
work_90improv_50drop_trial,exer_50improv_50drop_trial,0.44737176811317414,32,12
work_90improv_10para_trial,exer_50improv_50drop_trial,0.446730949507077,39,12
exer_50improv_90drop_trial,work_90improv_50death_trial,0.4447696804948286,13,48
exer_90improv_10drop_trial,work_90improv_1death_trial,0.4441625547653921,15,46
work_50improv_50para_trial,work_90improv_90drop_trial,0.4433651526464796,36,33
work_90improv_50para_trial,exer_50improv_50drop_trial,0.4383064172954399,40,12
work_50improv_10para_trial,exer_50improv_50drop_trial,0.4379545454802876,35,12
work_90improv_90drop_trial,exer_50improv_50drop_trial,0.4348077397783239,33,12
exer_50pain_50death_trial,work_90improv_50drop_trial,0.4330965300452061,20,32
exer_50improv_50drop_trial,work_90improv_90para_trial,0.4287274371714989,12,41
work_50improv_90death_trial,exer_50pain_10death_trial,0.4273638347274756,45,19
work_50improv_50drop_trial,exer_50improv_50drop_trial,0.42598322397252153,28,12
work_90improv_1death_trial,work_50improv_1drop_trial,0.4256925143753,46,26
exer_90pain_10death_trial,exer_90improv_90drop_trial,0.42544511175318844,23,17
work_50improv_1death_trial,exer_90improv_10drop_trial,0.42490289936435416,42,15
exer_50pain_50death_trial,work_50improv_90death_trial,0.42381550903248644,20,45
work_50improv_90death_trial,work_50improv_10death_trial,0.4213778581636255,45,43
work_50improv_10drop_trial,work_90improv_1para_trial,0.41969033123640764,27,38
work_50improv_10para_trial,exer_50improv_1drop_trial,0.4186086327486228,35,10
work_90improv_90para_trial,exer_90pain_50death_trial,0.41449250744691907,41,24
work_50improv_10death_trial,exer_90pain_50death_trial,0.4141353250191443,43,24
exer_50improv_10drop_trial,work_50improv_50death_trial,0.41326592033754156,11,44
work_50improv_50drop_trial,work_50improv_1drop_trial,0.4131943911166974,28,26
exer_90improv_90drop_trial,exer_50pain_10death_trial,0.4129556959456871,17,19
work_50improv_10death_trial,work_50improv_10drop_trial,0.41283878330234464,43,27
exer_90pain_10death_trial,exer_50pain_90death_trial,0.4124222772476403,23,21
work_50improv_1para_trial,work_50improv_1drop_trial,0.4113887453770288,34,26
work_90improv_10drop_trial,exer_90pain_1death_trial,0.4112769757103731,31,22
work_90improv_10para_trial,work_90improv_90death_trial,0.40909771055123517,39,49
work_90improv_50drop_trial,exer_90pain_50death_trial,0.4087148932484652,32,24
exer_90pain_90death_trial,exer_90improv_50drop_trial,0.40832245309611603,25,16
work_50improv_10drop_trial,work_50improv_1para_trial,0.4081015515527687,27,34
work_90improv_1death_trial,work_50improv_10drop_trial,0.40701661382588644,46,27
exer_50pain_1death_trial,work_50improv_50death_trial,0.4046862455390806,18,44
work_50improv_50drop_trial,exer_50improv_90drop_trial,0.40179018063982036,28,13
work_50improv_10drop_trial,work_90improv_1drop_trial,0.40136125035771625,27,30
work_90improv_10para_trial,work_90improv_10drop_trial,0.40108323623039294,39,31
exer_50improv_50drop_trial,work_50improv_1para_trial,0.40043628843683865,12,34
work_50improv_10drop_trial,exer_90pain_1death_trial,0.3988747471454567,27,22
exer_50improv_90drop_trial,work_50improv_10death_trial,0.3987378129715467,13,43
work_50improv_90drop_trial,exer_50pain_10death_trial,0.3980362889368557,29,19
work_90improv_50para_trial,work_50improv_1death_trial,0.3979995143149902,40,42
work_50improv_50para_trial,exer_50pain_1death_trial,0.396227379137952,36,18
work_50improv_90drop_trial,work_50improv_10death_trial,0.3940036365816337,29,43
exer_90improv_50drop_trial,exer_50pain_90death_trial,0.3934694050541497,16,21
work_50improv_10para_trial,exer_50pain_50death_trial,0.392764644689944,35,20
exer_50improv_50drop_trial,work_90improv_90death_trial,0.3920421765696785,12,49
work_50improv_1death_trial,work_90improv_50death_trial,0.3914885263525175,42,48
work_50improv_90death_trial,exer_90pain_50death_trial,0.3894656503330858,45,24
work_90improv_1death_trial,work_90improv_50para_trial,0.3892115718826869,46,40
work_90improv_10para_trial,work_90improv_90para_trial,0.38870654236928714,39,41
exer_50improv_90drop_trial,work_90improv_50drop_trial,0.3873380878665424,13,32
